year,genus,species,weight
1977,Dipodomys,spectabilis,149
1978,Neotoma,albigula,232
1978,Neotoma,albigula,232
1979,Neotoma,albigula,274
1980,Neotoma,albigula,243
1981,Neotoma,albigula,264
1982,Neotoma,albigula,252
1983,Neotoma,albigula,256
1984,Neotoma,albigula,259
1985,Neotoma,albigula,225
1986,Neotoma,albigula,240
1987,Neotoma,albigula,278
1988,Neotoma,albigula,248
1989,Neotoma,albigula,275
1990,Neotoma,albigula,243
1991,Sigmodon,fulviventer,199
1992,Neotoma,albigula,220
1993,Neotoma,albigula,233
1994,Neotoma,albigula,226
1995,Neotoma,albigula,171
1996,Neotoma,albigula,185
1997,Neotoma,albigula,231
1998,Neotoma,albigula,238
1999,Neotoma,albigula,227
2000,Neotoma,albigula,265
2001,Neotoma,albigula,280
2002,Neotoma,albigula,248
